paper	label	page	description
agentic_ai_meets_edge_computing	Fig. 1	4	Three multi-agentic AI deployment architectures for UAV swarms
agentic_ai_meets_edge_computing	Fig. 2	5	Proposed multi-agentic AI-driven UAV swarm system for wildfire
feds_slam_federated_semantic_collaborative_slam	Fig. 1	6	FedS-SLAM System Architecture and Data Flow Diagram
feds_slam_federated_semantic_collaborative_slam	Fig. 2	10	Factor Graph for Multi-UAV Collaborative SLAM
feds_slam_federated_semantic_collaborative_slam	Fig. 5	15	map generated by ORB-SLAM3
ai_enhanced_swarm_drones_decentralized_coordination	Figure 2	4	Swarm Drone Network
ai_enhanced_swarm_drones_decentralized_coordination	Figure 7	10	Experiment 1 Results
ai_enhanced_swarm_drones_decentralized_coordination	Figure 8	11	Experiment 2 Results
dvrp_mhsi_multimodal_human_swarm_interaction	Fig. 2.	3	The designed human-multi-robot interaction system.
dvrp_mhsi_multimodal_human_swarm_interaction	Fig. 3.	4	The software design of DVRP-MHSI.
dvrp_mhsi_multimodal_human_swarm_interaction	Fig. 9.	7	Guiding the formation along a gaze-drawn trajectory.
d2slam_collaborative_visual_inertial_slam	Fig. 2:	4	The architecture of D2 SLAM.
d2slam_collaborative_visual_inertial_slam	Fig. 4:	5	A state machine governing D2 SLAM
d2slam_collaborative_visual_inertial_slam	Fig. 9:	8	A demonstration of the factor graph in D2 VINS.
